LOB,ZONA,COACH,LOB.1,NOMBRE CLIENTE,Dirección,CP,Provincia,Población,TOTAL 2025 ,TOTAL YTD25,TOTAL YTD26,EVOL TOTAL,AVENE 2025,AVENE YTD 25,AVENE YTD 26,EVOL AVENE ,OPORTUNIDAD AVENE,AVENE 2025.1,AVENE YTD 25.1,AVENE YTD 26.1,EVOL AVENE .1,OPORTUNIDAD SIN SOLAR,AVENE 2025.2,AVENE YTD 25.2,AVENE YTD 26.2,EVOL AVENE .2,OPORTUNIDAD SOLAR,DUCRAY 2025,DUCRAY YTD 25,DUCRAY YTD 26,EVOL DUCRAY,OPORTUNIDAD DUCRAY,ADERMA 2025,ADERMA YTD 25,ADERMA YTD 26,EVOL ADERMA,OPORTUNIDAD ADERMA,DEXERYL 2025,DEXERYL YTD 25,DEXERYL YTD 26,EVOL DEXERYL,OPORTUNIDAD DEXERYL,Día de Fecha último pedido KF/ADA
1001436,Area 1,LAURA LUQUIN FRANQUET,1001436,PHARMACALAFELL S.L.,CR DE BARCELONA 95,43881,TARRAGONA,SEGUR DE CALAFELL,666,292,598,1.047945205479452,666,292,598,1.047945205479452,,666,292,680,1.33,,0,0,-82,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2026-01-13
1001983,Area 1,LAURA LUQUIN FRANQUET,1001983,ROVIRA RIBAS JAUME,CL PRAT DE LA RIBA 8,43700,TARRAGONA,"VENDRELL, EL",1630,908,1014,0.11498973305954818,937,544,543,-0.0018382352941176405,,911,528,535,0.01,,26,16,8,-0.47,1.0,638,338,415,0.23,,55,26,56,1.2,1.0,86,66,72,0.09,1.0,2026-06-30
1002022,Area 1,LAURA LUQUIN FRANQUET,1002022,CARLAN 2000 S.L.,"CR CASTELLDEFELS KM 16,530",8850,BARCELONA,GAVA,16795,10839,10684,0.010571015540296269,10775,7308,7747,0.06007115489874115,,7961,4509,4316,-0.04,,2814,2799,3431,0.23,,4383,2329,1844,-0.21,,1637,1202,1093,-0.09,,521,229,501,1.19,,2026-07-06
1002353,Area 1,LAURA LUQUIN FRANQUET,1002353,CLOS GATNAU MARTA,CL DIPUTACIO 106(FARMACIA),8015,BARCELONA,BARCELONA,693,693,2469,2.5627705627705626,0,0,616,,,0,0,168,0.0,,0,0,448,0.0,,0,0,864,0.0,,693,693,989,0.43,,0,0,0,0.0,1.0,2026-07-09
1002364,Area 1,LAURA LUQUIN FRANQUET,1002364,BENAVENT VALLES JOSEP,CL FRANCESC MACIA 18,8800,BARCELONA,VILANOVA I LA GELTRU,5897,4681,3676,-0.2122552116234997,4889,4152,2973,-0.28395953757225434,,2826,2089,554,-0.73,,2063,2063,2419,0.17,,863,440,641,0.46,,145,89,62,-0.3,1.0,142,68,65,-0.05,1.0,2026-07-08
1002495,Area 1,LAURA LUQUIN FRANQUET,1002495,BOSCH GRANE MARTA,CL FREDERIC SOLER 76,8820,BARCELONA,EL PRAT DE LLOBREGAT,29537,22806,23737,0.0355812459858702,20168,16738,18734,0.11924961166208625,,9360,6062,6455,0.06,,10808,10676,12279,0.15,,5652,2907,2875,-0.01,,3717,3161,2128,-0.33,,762,549,449,-0.18,,2026-11-04
1002496,Area 1,LAURA LUQUIN FRANQUET,1002496,COLOMER MENDEZ NEUS,CL GRAN VIA 424,8015,BARCELONA,BARCELONA,3469,2627,3455,0.38391502276176026,2996,2273,2888,0.27056753189617244,,1968,1245,1639,0.32,,1028,1028,1249,0.22,,455,354,494,0.39,,18,0,73,0.0,1.0,21,9,193,20.66,,2026-07-18
1002592,Area 1,LAURA LUQUIN FRANQUET,1002592,ALSINA ARMENGOL CONXITA,CL ST.FRUCTUOS 29 (FARMACIA),8004,BARCELONA,BARCELONA,5270,4984,2589,-0.46252178965717605,3997,3771,1435,-0.6194643330681517,,2648,2471,671,-0.73,,1349,1300,764,-0.41,,755,755,570,-0.25,,518,458,584,0.28,,179,179,186,0.04,,2026-06-15
1002668,Area 1,LAURA LUQUIN FRANQUET,1002668,SANMORA 2013 S.L.,CL SANT JOAN 43 B,8850,BARCELONA,GAVA,3748,2299,1939,-0.15658982166159197,3685,2236,1906,-0.14758497316636854,,2825,1479,1339,-0.09,,860,757,567,-0.25,,63,63,33,-0.48,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2026-06-04
1003065,Area 1,LAURA LUQUIN FRANQUET,1003065,DE LAMA SALVADOR BEGOÑA,CL CALABRIA 25,8015,BARCELONA,BARCELONA,13667,7262,4287,-0.42265372168284787,11480,6042,3109,-0.4854352863290301,,6208,3098,2748,-0.11,,5272,2944,361,-0.88,,1348,691,634,-0.08,,839,529,544,0.03,,576,463,173,-0.63,,2026-07-07
1003070,Area 1,LAURA LUQUIN FRANQUET,1003070,GUILAMANY BARRERAS MARGARITA,CL SAN ISIDRO 33,43883,TARRAGONA,RODA DE BARA,10168,5636,6705,0.14930733709594657,7423,4504,5013,0.11301065719360559,,4878,1980,2148,0.09,,2545,2524,2865,0.14,,1829,717,867,0.21,,916,415,825,0.99,,211,211,15,-0.93,,2026-06-30
1003339,Area 1,LAURA LUQUIN FRANQUET,1003339,ARANZANA MARTINEZ FRANCISCA,CL LLEIDA 55,8004,BARCELONA,BARCELONA,2729,1381,2656,0.9442433019551051,2289,1054,1858,0.76280834914611,,1866,649,990,0.52,,423,405,868,1.14,,397,284,357,0.26,,43,43,441,9.22,,0,0,29,0.0,1.0,2026-07-08
1003437,Area 1,LAURA LUQUIN FRANQUET,1003437,VILA BADIA FRANCESC,CL AV DEL MOLI 37,8840,BARCELONA,VILADECANS,8664,4755,5281,0.13160049119934514,5454,3391,3244,-0.04335004423473898,,3652,1688,1255,-0.26,,1802,1703,1989,0.17,,1836,617,1096,0.78,,1374,747,941,0.26,,364,131,248,0.9,,2026-06-26
1003496,Area 1,LAURA LUQUIN FRANQUET,1003496,PUJOL CID JOSE MARIA,AV S. JUAN DE DIOS 79  PLAYA,43820,TARRAGONA,CALAFELL,22336,12068,8456,-0.30218752541270233,19969,10876,6699,-0.3840566384700257,,9400,5334,3166,-0.41,,10569,5542,3533,-0.36,,1769,650,716,0.1,,598,542,1041,0.92,,564,229,125,-0.45,,2026-07-20
1003704,Area 1,LAURA LUQUIN FRANQUET,1003704,SYLESCO FARMA S.L.,CL BEGUES 6,8850,BARCELONA,GAVA,2159,1503,1302,-0.2208258527827648,201,79,54,-0.31645569620253167,1.0,201,79,54,-0.32,1.0,0,0,0,0.0,1.0,1234,937,1163,0.24,,724,487,85,-0.83,,179,168,0,-1.0,,2026-05-20
1003816,Area 1,LAURA LUQUIN FRANQUET,1003816,IGNACI JANE DE ROSALES,"CL ELKANO, 70",8004,BARCELONA,BARCELONA,21,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,21,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,11,0.0,1.0,2026-02-24
1004213,Area 1,LAURA LUQUIN FRANQUET,1004213,RIVERO MORENO BEATRIZ,CL AV DIAGONAL 7,8850,BARCELONA,GAVA,994,537,628,0.3296089385474861,487,282,583,1.0673758865248226,,487,282,583,1.07,,0,0,0,0.0,1.0,455,229,0,-1.0,,52,26,45,0.73,1.0,0,0,86,0.0,1.0,2026-06-26
1004298,Area 1,LAURA LUQUIN FRANQUET,1004298,GRACIA FRANCO MARIONA,AV BARCELONA 207,43881,TARRAGONA,CUNIT,2557,2557,0,-1.0,2170,2170,0,-1.0,,429,429,0,-1.0,,1741,1741,0,-1.0,,358,358,0,-1.0,,29,29,0,-1.0,1.0,109,109,0,-1.0,1.0,2025-06-10
1004328,Area 1,LAURA LUQUIN FRANQUET,1004328,CARRASCO TORRENTS AMERICA,AV SOFIA 14,8870,BARCELONA,SITGES,405,164,209,-0.12552301255230125,219,71,108,0.5211267605633803,1.0,157,27,86,2.23,1.0,62,44,22,-0.5,1.0,186,93,90,-0.03,1.0,0,0,11,0.0,1.0,108,75,0,-1.0,1.0,2026-06-27
1004430,Area 1,LAURA LUQUIN FRANQUET,1004430,TORRENS CORTES INMACULADA,CL VILADOMAT 40,8015,BARCELONA,BARCELONA,4627,3638,1312,-0.6292164674634795,3535,2944,1065,-0.6382472826086957,,2552,1961,1049,-0.46,,983,983,16,-0.98,,1020,622,235,-0.62,,72,72,12,-0.84,1.0,127,127,84,-0.34,1.0,2026-07-24
1004538,Area 1,LAURA LUQUIN FRANQUET,1004538,ENRICH ESTEVE ANNA,RB J VAYRDA 24 (FARMACIA),8850,BARCELONA,GAVA,63,-142,-63,-0.556338028169014,63,-24,-63,1.625,1.0,63,-24,-63,1.59,1.0,0,0,0,-1.0,1.0,0,-70,0,-1.0,1.0,0,-48,0,-1.0,1.0,0,0,0,0.0,1.0,2025-09-25
1004551,Area 1,LAURA LUQUIN FRANQUET,1004551,BENIMELI FERRANDO CARLOS,CL GIRONA 74 (FARMACIA),8820,BARCELONA,EL PRAT DE LLOBREGAT,304,1190,1203,0.046915167095115784,0,243,37,-0.8477366255144033,,0,243,37,-0.85,,0,0,0,0.0,1.0,244,673,686,0.02,,60,274,480,0.75,,0,366,426,0.16,,2026-07-21
1004567,Area 1,LAURA LUQUIN FRANQUET,1004567,TARRAGO LLOBET BERTA,CL ENTENÇA 129 (FARMACIA),8015,BARCELONA,BARCELONA,2382,0,3140,,1673,0,2263,,,1341,0,1245,0.0,,332,0,1018,0.0,,698,0,138,0.0,1.0,11,0,739,0.0,,16,0,46,0.0,1.0,2026-07-24
1004846,Area 1,LAURA LUQUIN FRANQUET,1004846,GRANDA PALMERO ANDREA,CL TARRAGONA 53,8800,BARCELONA,VILANOVA I LA GELTRU,652,430,1109,0.9058441558441559,356,284,447,0.573943661971831,,231,159,378,1.37,,125,125,69,-0.45,1.0,267,131,568,3.33,,29,15,94,5.35,1.0,186,186,65,-0.65,,2026-07-13
1004877,Area 1,LAURA LUQUIN FRANQUET,1004877,BONET SERRANO JAUME,AV PALFURIANA 68 (SAN SALVADOR,43880,TARRAGONA,COMARRUGA,16286,8988,6135,-0.3033088235294118,15836,8796,5961,-0.32230559345156895,,5577,3530,4623,0.31,,10259,5266,1338,-0.75,,350,100,18,-0.82,1.0,100,92,156,0.71,,269,260,308,0.18,,2026-06-25
1004901,Area 1,LAURA LUQUIN FRANQUET,1004901,RIVERA ARNANDIS XAVIER,CL CALABRIA 61(FARMACIA),8015,BARCELONA,BARCELONA,12254,6998,9312,0.32527932960893846,7369,3819,5779,0.513223356899712,,4508,2448,2865,0.17,,2861,1371,2914,1.12,,1625,1107,1242,0.12,,3260,2072,2291,0.11,,441,162,177,0.09,,2026-07-06
1005365,Area 1,LAURA LUQUIN FRANQUET,1005365,FARMACIA MOLA GELADA CB,CL RIU LLOBREGAT 68,8820,BARCELONA,EL PRAT DE LLOBREGAT,1340,904,906,-0.11578947368421055,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,1198,904,655,-0.28,,142,0,251,0.0,,467,331,186,-0.44,,2026-04-16
1005582,Area 1,LAURA LUQUIN FRANQUET,1005582,SANTOS MARCOS CRISTINA,AV ROMA 18,8015,BARCELONA,BARCELONA,4566,2005,2355,0.13395225464190985,1937,678,447,-0.3407079646017699,,1937,678,591,-0.13,,0,0,-144,0.0,1.0,1896,860,1217,0.42,,733,467,691,0.48,,497,257,210,-0.18,,2026-12-04
1005587,Area 1,LAURA LUQUIN FRANQUET,1005587,ESCUDE PONT MARC,CL FILADORS 8,43830,TARRAGONA,TORREDEMBARRA,2082,1912,1535,-0.1344142259414226,1128,974,968,-0.006160164271047264,,356,184,359,0.96,,772,790,609,-0.23,,825,552,263,-0.52,,129,386,304,-0.21,,0,0,120,0.0,1.0,2026-05-18
1005731,Area 1,LAURA LUQUIN FRANQUET,1005731,FARMACIA ROCA VERS CB,PA SANTA MADRONA 8,8004,BARCELONA,BARCELONA,4998,4226,1358,-0.6708485401459854,2798,2607,289,-0.8891446106635981,,641,450,47,-0.89,,2157,2157,242,-0.89,,963,870,486,-0.44,,1237,749,583,-0.22,,170,158,85,-0.46,,2026-07-10
1005762,Area 1,LAURA LUQUIN FRANQUET,1005762,ALBALA HURTADO SOLEDAD,CL RAMON OTERO PEDRAYO 32,8860,BARCELONA,CASTELLDEFELS,15404,10282,8876,-0.14020124580737903,8836,5355,6442,0.20298786181139117,,6398,3340,2455,-0.27,,2438,2015,3987,0.98,,4845,3654,1188,-0.67,,1723,1273,1246,-0.02,,279,153,96,-0.38,,2026-08-04
1005912,Area 1,LAURA LUQUIN FRANQUET,1005912,PARAF ALTAFULLA PUIG DOMINGO SL,CL ESCOLES 3 (FARMACIA),43893,TARRAGONA,ALTAFULLA,6950,4678,2965,-0.3615203929105274,3183,2242,987,-0.5597680642283676,,2649,1724,963,-0.44,,534,518,24,-0.95,,2007,1571,1328,-0.15,,1760,865,650,-0.25,,28,5,25,3.69,1.0,2026-07-09
1006037,Area 1,LAURA LUQUIN FRANQUET,1006037,MARTINEZ CATALA NEUS,CL ROGER DE FLOR 100,8810,BARCELONA,SANT PERE DE RIBES,5744,1627,9939,3.7323612417685794,3861,489,6936,13.184049079754601,,3207,489,2589,4.29,,654,0,4347,0.0,,1385,768,1756,1.29,,498,370,1247,2.37,,649,499,122,-0.75,,2026-07-22
1006120,Area 1,LAURA LUQUIN FRANQUET,1006120,FARMACIA MEDRANO MAURI CB,CL SANT PERE 44,43820,TARRAGONA,CALAFELL,15573,11023,11449,0.05160014383315348,12842,9557,9612,0.005754944020089914,,6499,3264,4153,0.27,,6343,6293,5459,-0.13,,1969,992,1140,0.15,,762,474,697,0.47,,213,101,249,1.47,,2026-10-04
1006142,Area 1,LAURA LUQUIN FRANQUET,1006142,HERRERO CERDA JOSE,CL COMTE DE BORRELL 68,8015,BARCELONA,BARCELONA,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2023-02-08
1006146,Area 1,LAURA LUQUIN FRANQUET,1006146,VILAPLANA I BATALLA MONTSE,CL ROCAFORT 49-51 (FARMACIA),8015,BARCELONA,BARCELONA,7388,4248,2320,-0.3407439076528431,6442,3669,2275,-0.3799400381575361,,1848,1479,922,-0.38,,4594,2190,1353,-0.38,,931,564,31,-0.94,,15,15,14,-0.07,1.0,460,430,764,0.78,,2026-07-10
1006572,Area 1,LAURA LUQUIN FRANQUET,1006572,FARMACIA PLATJA CUBELLES CB,CL MALLORCA 14 (FARMACIA),8880,BARCELONA,CUBELLES,553,352,950,1.5396825396825395,195,100,414,3.1399999999999997,,195,100,395,2.94,,0,0,19,0.0,1.0,306,241,419,0.74,,52,11,117,9.67,1.0,36,26,10,-0.61,1.0,2026-06-25
1006845,Area 1,LAURA LUQUIN FRANQUET,1006845,DALMASES C.B.,CL ARAGON 97  (FARMACIA),8015,BARCELONA,BARCELONA,1537,676,984,0.4508426966292134,973,324,747,1.3055555555555554,,956,307,200,-0.35,,17,17,547,31.88,,405,212,164,-0.23,,159,140,73,-0.48,1.0,45,36,49,0.35,1.0,2026-06-27
1007006,Area 1,LAURA LUQUIN FRANQUET,1007006,COGUL ARDEVOL BLANCA,CL ANTONIO ROIG 14 (FARMACIA),43830,TARRAGONA,TORREDEMBARRA,3481,2030,5572,1.6043808672329014,677,213,2697,11.661971830985916,,677,213,235,0.11,,0,0,2462,0.0,,1369,930,1800,0.94,,1435,887,1075,0.21,,299,207,254,0.22,,2026-04-27
1007141,Area 1,LAURA LUQUIN FRANQUET,1007141,JORBA CREMADES ANNA,CL OLERDOLA 39,8800,BARCELONA,VILANOVA I LA GELTRU,7834,5881,4995,-0.16541353383458646,6063,4411,3699,-0.1614146452051689,,4604,2952,1979,-0.33,,1459,1459,1720,0.18,,671,653,664,0.02,,1100,817,632,-0.23,,193,104,0,-1.0,1.0,2026-07-13
1007166,Area 1,LAURA LUQUIN FRANQUET,1007166,GODIA TRESANCHEZ ROSA Mª,CL LLANÇA 11,8015,BARCELONA,BARCELONA,2064,928,5214,4.739224137931035,1668,879,4337,3.9340159271899884,,925,136,1620,10.92,,743,743,2717,2.66,,357,49,354,6.21,,39,0,523,0.0,,24,0,112,0.0,1.0,2026-06-08
1007287,Area 1,LAURA LUQUIN FRANQUET,1007287,GARCIA BERGA ESTHER,CL ARAGO 1 (FARMACIA),8015,BARCELONA,BARCELONA,11566,7449,7998,0.034150725381948854,8342,5407,5417,0.0018494544109488587,,6493,3558,3037,-0.15,,1849,1849,2380,0.29,,2744,1748,1726,-0.01,,480,294,855,1.91,,484,340,57,-0.83,,2026-07-23
1007291,Area 1,LAURA LUQUIN FRANQUET,1007291,SABATE HERRERO JOAQUIM,"PA DELS VENTS, 9",43893,TARRAGONA,ALTAFULLA,11553,6712,3890,-0.42447726275771314,9634,5248,2348,-0.5525914634146342,,1951,1209,1333,0.1,,7683,4039,1015,-0.75,,1153,1002,1255,0.25,,766,462,287,-0.38,,299,127,46,-0.64,1.0,2026-06-23
1007485,Area 1,LAURA LUQUIN FRANQUET,1007485,VIVES SANCHEZ ADELA,RD SAN PABLO 3,8015,BARCELONA,BARCELONA,538,421,2503,5.026128266033254,373,319,2394,6.504702194357367,,373,319,1509,3.73,,0,0,885,0.0,,146,83,87,0.04,1.0,19,19,22,0.14,1.0,46,0,34,0.0,1.0,2026-06-29
1007991,Area 1,LAURA LUQUIN FRANQUET,1007991,DE DOU REALES BIBIANA,AV PARAL.LEL 124 BIS,8015,BARCELONA,BARCELONA,4253,1514,7906,3.845518867924528,2805,1002,6040,5.027944111776447,,2409,606,5617,8.27,,396,396,423,0.07,,1047,249,615,1.47,,401,263,1251,3.76,,285,182,312,0.72,,2026-07-21
1008746,Area 1,LAURA LUQUIN FRANQUET,1008746,FARMACIA ZONA FRANCA C.B.,PS ZONA FRANCA 162,8038,BARCELONA,BARCELONA,8434,4674,5509,0.2566299469604243,4347,2170,3301,0.5211981566820276,,4180,2049,2981,0.46,,167,121,320,1.64,,2468,1406,1101,-0.22,,1619,1098,1107,0.01,,342,228,651,1.86,,2026-07-22
1008773,Area 1,LAURA LUQUIN FRANQUET,1008773,VIVES FERRER EULALIA,CL MANSO 64,8015,BARCELONA,BARCELONA,14197,10792,13266,0.2505419075144508,11203,8724,10774,0.23498395231545155,,7080,4635,5574,0.2,,4123,4089,5200,0.27,,1486,746,1253,0.68,,1508,1322,1239,-0.06,,498,280,580,1.07,,2026-06-30
1008840,Area 1,LAURA LUQUIN FRANQUET,1008840,PARAFARMACIA CREIXELL SL,AV DR PUJOL 2,43839,TARRAGONA,CREIXELL,9498,7266,8479,0.18247184913851577,7887,5957,6339,0.06412623803928152,,3776,1846,2366,0.28,,4111,4111,3973,-0.03,,1025,882,1288,0.46,,586,427,852,0.99,,282,105,237,1.26,,2026-07-14
1008857,Area 1,LAURA LUQUIN FRANQUET,1008857,CACERES DELGADO SHIRLEY,AV GRAN VIA CORTS CATALANES 470 (FCIA),8015,BARCELONA,BARCELONA,5962,3863,6175,0.619218910585817,4945,3247,4822,0.4850631352017247,,3209,1602,2729,0.7,,1736,1645,2093,0.27,,805,444,1104,1.49,,212,172,249,0.44,,214,29,127,3.33,1.0,2026-07-29
1009253,Area 1,LAURA LUQUIN FRANQUET,1009253,GUILLEMI BASTE MERÇE,CL VILADOMAT 60,8015,BARCELONA,BARCELONA,5815,4434,1829,-0.5023584905660378,4840,3620,1318,-0.6359116022099447,,2561,1380,1002,-0.27,,2279,2240,316,-0.86,,932,791,473,-0.4,,43,23,38,0.66,1.0,328,230,492,1.14,,2026-09-04
1009259,Area 1,LAURA LUQUIN FRANQUET,1009259,TOBELLA NIETO NURIA,PA TRILLAS SN (FARMACIA),43880,TARRAGONA,COMARRUGA,9390,8459,11206,0.3410958904109589,8454,7872,10127,0.28645833333333326,,3382,1937,2408,0.24,,5072,5935,7719,0.3,,644,295,499,0.69,,292,292,580,0.99,,394,301,542,0.8,,2026-06-16
1009433,Area 1,LAURA LUQUIN FRANQUET,1009433,GARRIDO ZAFRA MONTSERRAT,CL DR. AUGET 82 BAIXOS 4,8840,BARCELONA,VILADECANS,9867,6751,5919,-0.1251227381119372,5893,3550,3968,0.11774647887323941,,3914,2239,1906,-0.15,,1979,1311,2062,0.57,,2766,2117,1493,-0.29,,1208,1084,458,-0.58,,525,378,318,-0.16,,2026-07-29
1009456,Area 1,LAURA LUQUIN FRANQUET,1009456,BORRAS URTUBIA TERESA,C SANT EUDALD 83,8859,BARCELONA,BEGUES,33,18,62,2.4444444444444446,33,18,62,2.4444444444444446,1.0,15,0,62,0.0,1.0,18,18,0,-1.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2026-06-16
1009474,Area 1,LAURA LUQUIN FRANQUET,1009474,LANTIGUA RODRIGUEZ Mª ANGELES,CL MINERIA 70,8038,BARCELONA,BARCELONA,3324,2337,4568,1.0021394950791613,3277,2290,3505,0.5305676855895196,,2943,1956,1544,-0.21,,334,334,1961,4.88,,47,47,0,-1.0,1.0,0,0,1063,0.0,,47,0,111,0.0,1.0,2026-07-22
1009836,Area 1,LAURA LUQUIN FRANQUET,1009836,FARMACIA PARRA CB,"CL SANT XAVIER, 23",43700,TARRAGONA,"VENDRELL, EL",8579,4927,4521,-0.09677419354838712,6760,3802,3650,-0.03997895844292476,,4874,2415,1689,-0.3,,1886,1387,1961,0.41,,1078,488,535,0.1,,741,637,336,-0.47,,375,343,239,-0.3,,2026-07-29
1010034,Area 1,LAURA LUQUIN FRANQUET,1010034,MALLASEN ZINSSER ISABEL,CL NARCISO MONTURIOL 3,8860,BARCELONA,CASTELLDEFELS,10028,7596,5192,-0.30486862442040186,6290,4636,2874,-0.38006902502157036,,3667,2168,1092,-0.5,,2623,2468,1782,-0.28,,2212,1601,1715,0.07,,1526,1359,603,-0.56,,344,168,205,0.22,,2026-07-01
1010036,Area 1,LAURA LUQUIN FRANQUET,1010036,PARAFARMACIA YTARTE S.L.,AV PINEDA 20,8860,BARCELONA,CASTELLDEFELS,2361,1742,3751,1.206405693950178,0,0,1364,,,0,0,1364,0.0,,0,0,0,0.0,1.0,2330,1711,2299,0.34,,31,31,88,1.81,1.0,1372,787,1829,1.32,,2026-07-24
1010272,Area 1,LAURA LUQUIN FRANQUET,1010272,GARCIA-VELA I GRAU FRANCISCO,CL GAUDI 4,8850,BARCELONA,GAVA,13,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,13,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2025-11-17
1010613,Area 1,LAURA LUQUIN FRANQUET,1010613,BERGA MARTI CARLOS,CL JAUME ABRIL 23,8840,BARCELONA,VILADECANS,0,0,0,,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0,0.0,1.0,2025-06-23
